"","team_api_id","buildupPlay","chanceCreation","defence","team_name","no_goals"
"200",9857,164,175,135,"Bologna",263
"201",9858,141,180,155,"Brescia",34
"202",9860,168,210,200,"Heart of Midlothian",317
"203",9864,129,191,164,"Málaga CF",377
"204",9865,152,180,193,"UD Almería",202
"205",9867,163,180,174,"CD Tenerife",40
"206",9868,NA,159,165,"Xerez Club Deportivo",38
"207",9869,153,185,195,"Real Sporting de Gijón",200
"208",9873,160,188,155,"Valenciennes FC",256
"209",9874,164,184,165,"FC Sochaux-Montbéliard",246
"210",9875,180,215,165,"Napoli",514
"211",9876,157,173,169,"Hellas Verona",145
"212",9878,152,180,145,"Pescara",27
"213",9879,142,190,138,"Fulham",265
"214",9880,143,170,145,"Cesena",98
"215",9882,130,180,175,"Sampdoria",318
"216",9885,105,195,169,"Juventus",543
"217",9888,NA,175,165,"Lecce",121
"218",9891,157,156,193,"Frosinone",35
"219",9904,144,175,210,"Hannover 96",359
"220",9905,178,185,170,"1. FSV Mainz 05",320
"221",9906,157,206,160,"Atlético Madrid",524
"222",9908,152,182,159,"FC Utrecht",408
"223",9910,169,179,169,"RC Celta de Vigo",184
"224",9911,164,172,172,"VfL Bochum",72
"225",9912,166,165,138,"DSC Arminia Bielefeld",29
"226",9925,180,205,200,"Celtic",695
"227",9927,172,205,200,"Motherwell",403
"228",9930,156,181,150,"FC Aarau",153
"229",9931,170,186,180,"FC Basel",619
"230",9938,171,205,200,"Dundee United",438
"231",9941,158,165,140,"Toulouse FC",339
"232",9956,164,184,160,"Grasshopper Club Zürich",429
"233",9976,157,193,161,"Bari",76
"234",9984,145,200,195,"KSV Cercle Brugge",213
"235",9985,161,182,205,"Standard de Liège",341
"236",9986,160,148,210,"Sporting Charleroi",201
"237",9987,148,182,205,"KRC Genk",348
"238",9989,171,169,159,"Lierse SK",113
"239",9991,142,184,166,"KAA Gent",390
"240",9993,NA,185,210,"Beerschot AC",174
"241",9994,159,154,200,"Sporting Lokeren",279
"242",9996,150,150,140,"Royal Excel Mouscron",42
"243",9997,NA,154,150,"Sint-Truidense VV",115
"244",9998,160,168,138,"RAEC Mons",129
"245",9999,NA,125,205,"KSV Roeselare",62
"246",10000,147,153,200,"SV Zulte-Waregem",306
"247",10001,148,167,210,"KVC Westerlo",217
"248",10003,131,210,210,"Swansea City",233
"249",10167,152,176,166,"Parma",272
"250",10172,141,210,210,"Queens Park Rangers",115
"251",10179,155,177,146,"FC Sion",371
"252",10189,143,195,185,"FC Schalke 04",426
"253",10190,146,157,155,"FC St. Gallen",276
"254",10191,152,166,145,"FC Thun",279
"255",10192,172,202,170,"BSC Young Boys",529
"256",10194,138,195,153,"Stoke City",322
"257",10199,165,175,153,"FC Luzern",421
"258",10205,126,161,165,"Villarreal CF",364
"259",10211,NA,165,155,"SC Beira Mar",93
"260",10212,182,186,144,"CS Marítimo",316
"261",10214,167,165,156,"CD Nacional",332
"262",10215,150,172,151,"Académica de Coimbra",240
"263",10217,162,181,173,"ADO Den Haag",366
"264",10218,163,162,106,"Excelsior",154
"265",10219,142,159,150,"RKC Waalwijk",153
"266",10228,150,171,183,"SC Heerenveen",470
"267",10229,154,185,184,"AZ",492
"268",10233,184,182,154,"Genoa",392
"269",10235,154,165,160,"Feyenoord",489
"270",10238,149,165,140,"Vitória Setúbal",238
"271",10242,148,150,140,"ES Troyes AC",71
"272",10243,157,165,163,"FC Zürich",468
"273",10249,162,160,210,"Montpellier Hérault SC",344
"274",10251,148,200,200,"Hibernian",259
"275",10252,170,185,145,"Aston Villa",335
"276",10260,134,200,163,"Manchester United",582
"277",10261,152,195,161,"Newcastle United",324
"278",10264,145,166,150,"SC Braga",398
"279",10265,135,183,205,"Wisla Kraków",332
"280",10267,116,185,175,"Valencia CF",484
"281",10268,171,165,158,"Elche CF",65
"282",10269,168,200,175,"VfB Stuttgart",415
"283",10278,154,178,160,"Hércules Club de Fútbol",36
"284",10281,153,172,161,"Real Valladolid",170
"285",108893,156,141,158,"AC Arles-Avignon",21
"286",158085,174,160,113,"FC Arouca",101
"287",208931,190,160,141,"Carpi",37
"288",274581,150,150,140,"Royal Excel Mouscron",71
