"","size","lat","lon"
"180",10,23.634501,-102.552784
"181",1,23.69781,120.960515
"182",2,23.885942,45.079162
"183",1,24.597524,46.5502819
"184",1,24.7135517,46.6752957
"185",1,24.8614622,67.0099388
"186",1,25.1721091,-107.4795173
"187",1,25.2048493,55.2707828
"188",1,25.2621826,85.4788065
"189",1,25.5304773,77.2117733
"190",2,25.5940947,85.1375645
"191",1,25.6866142,-100.3161126
"192",1,25.72149,-80.2683838
"193",1,25.7333883,-80.2494221
"194",6,25.7616798,-80.1917902
"195",1,26.0764783,-80.2521157
"196",1,26.1037204,-80.2201825
"197",1,26.1224386,-80.1373174
"198",1,26.1275862,-80.2331036
"199",1,26.1280062,-98.0103453
"200",1,26.2445263,-80.206436
"201",2,26.3351,17.228331
"202",1,26.4643209,-81.7733903
"203",1,26.640628,-81.8723084
"204",1,26.820553,30.802498
"205",1,26.8467088,80.9461592
"206",1,27.6172411,88.6597047
"207",12,27.6648274,-81.5157535
"208",2,27.7172453,85.3239605
"209",1,27.7518284,-82.6267345
"210",1,27.8005828,-97.396381
"211",1,27.833086,-97.060316
"212",2,27.950575,-82.4571776
"213",1,28.0107088,-82.4354028
"214",1,28.033886,1.659626
"215",1,28.0582985,-81.8661442
"216",1,28.0836269,-80.6081089
"217",1,28.0888298,-80.6520272
"218",1,28.1450016,77.3367498
"219",1,28.2489016,-81.2811801
"220",2,28.2915637,-16.6291304
"221",1,28.2919557,-81.407571
"222",1,28.3352935,-81.4852882
"223",2,28.394857,84.124008
"224",1,28.4594965,77.0266383
"225",1,28.5355161,77.3910265
"226",1,28.5383355,-81.3792365
"227",3,28.6139391,77.2090212
"228",1,28.6618385,77.3776389
"229",1,28.677775,-81.3278455
"230",1,28.7040592,77.1024902
"231",1,28.9844618,77.7064137
"232",1,29.1374449,-95.0627691
"233",1,29.2435916,-81.0375555
"234",1,29.4241219,-98.4936282
"235",1,29.5293998,-95.2010447
"236",1,29.5955018,-95.6231312
"237",2,29.6516344,-82.3248262
"238",1,29.7262859,-95.3847031
"239",1,29.7381591,-94.8442859
"240",7,29.7604267,-95.3698028
"241",1,29.7857853,-95.8243956
"242",1,29.804096,-95.421366
"243",1,29.8093067,-95.3271708
"244",1,29.8433737,-95.1860618
"245",1,29.8483192,31.3368529
"246",2,29.9510658,-90.0715323
"247",1,30.042155,-96.002978
"248",1,30.2240897,-92.0198427
"249",2,30.267153,-97.7430608
"250",1,30.2788501,-97.7621558
"251",1,30.3321838,-81.655651
"252",1,30.375321,69.345116
"253",1,30.4868564,-90.9562125
"254",1,30.5330561,-92.0837143
"255",1,30.6735749,-96.373747
"256",1,30.7220358,31.244366
"257",1,30.8327022,-83.2784851
"258",2,31.1471305,75.3412179
"259",1,31.2000924,29.9187387
"260",1,31.230416,121.473701
"261",1,31.4504629,-83.5084973
"262",1,31.5546061,74.3571581
"263",2,31.7618778,-106.4850217
"264",1,31.844196,130.881067
"265",1,31.875925,-102.348366
"266",7,31.9685988,-99.9018131
"267",1,31.9973456,-102.0779146
"268",5,32.1656221,-82.9000751
"269",1,32.2124935,-80.742046
"270",1,32.2217429,-110.926479
"271",1,32.2987573,-90.1848103
"272",1,32.3139699,35.8350133
"273",2,32.3182314,-86.902298
"274",1,32.347947,-91.105717
"275",2,32.3546679,-89.3985283
"276",1,32.3645888,-89.4742348
"277",1,32.3668052,-86.2999689
"278",1,32.5884689,-96.9561152
"279",1,32.6098566,-85.4807825
"280",1,32.6602282,-117.0718638
"281",3,32.715738,-117.1610838
"282",2,32.735687,-97.1080656
"283",1,32.7362591,-96.8645856
